AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N,PCT,RAP,Section,Subject,Subject_Label,Workload,YearTerm,Instructors
2.35,MLS - Main Lab,5.25,5.25,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,2,1,,,0,003,IPHY,Integrative Physiology,,20137,
2.85,MLS - Main Lab,5.33,5.5,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,004,IPHY,Integrative Physiology,,20137,
3.03,MLS - Main Lab,5.36,5.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,005,IPHY,Integrative Physiology,,20137,
2.55,MLS - Main Lab,4.6,5.6,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,006,IPHY,Integrative Physiology,,20137,
2.66,MLS - Main Lab,4.92,5.75,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,007,IPHY,Integrative Physiology,,20137,
3.27,MLS - Main Lab,5.13,5.87,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,008,IPHY,Integrative Physiology,,20137,
2.89,MLS - Main Lab,5.33,5.53,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,2,1,,,0,009,IPHY,Integrative Physiology,,20137,
3.37,MLS - Main Lab,5.4,5.87,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
2.36,MLS - Main Lab,5.44,5.89,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,011,IPHY,Integrative Physiology,,20137,
2.76,MLS - Main Lab,4.79,4.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,012,IPHY,Integrative Physiology,,20137,
2.65,MLS - Main Lab,4.67,4.55,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,013,IPHY,Integrative Physiology,,20137,
2.19,MLS - Main Lab,5.11,5.67,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,014,IPHY,Integrative Physiology,,20137,
2.24,MLS - Main Lab,5.4,4.8,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,015,IPHY,Integrative Physiology,,20137,
2.48,MLS - Main Lab,4.93,5.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,016,IPHY,Integrative Physiology,,20137,
2.23,MLS - Main Lab,5.4,5.2,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,017,IPHY,Integrative Physiology,,20137,
2.63,MLS - Main Lab,5.38,5.88,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,018,IPHY,Integrative Physiology,,20137,
2.98,MLS - Main Lab,5.6,6,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,019,IPHY,Integrative Physiology,,20137,
2.48,MLS - Main Lab,5.09,5.36,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,020,IPHY,Integrative Physiology,,20137,
2.69,MLS - Main Lab,5,5.64,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,021,IPHY,Integrative Physiology,,20137,
2.41,MLS - Main Lab,4.87,5.8,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,022,IPHY,Integrative Physiology,,20137,
2.87,MLS - Main Lab,4.92,5.46,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,023,IPHY,Integrative Physiology,,20137,
2.8,MLS - Main Lab,4,4.17,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,024,IPHY,Integrative Physiology,,20137,
2.44,LEC - Lecture,4.69,5.1,3430,Introduction to Human Physiology,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.69,MLS - Main Lab,5.07,5.93,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.8,MLS - Main Lab,4.75,4.5,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
2.89,MLS - Main Lab,4.7,5.7,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,003,IPHY,Integrative Physiology,,20137,
3,MLS - Main Lab,4.5,4.92,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,004,IPHY,Integrative Physiology,,20137,
3.04,MLS - Main Lab,4.81,5.38,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,006,IPHY,Integrative Physiology,,20137,
2.99,MLS - Main Lab,4.3,4.7,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,007,IPHY,Integrative Physiology,,20137,
3,MLS - Main Lab,4.86,6,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,008,IPHY,Integrative Physiology,,20137,
3,MLS - Main Lab,4.67,5.73,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,009,IPHY,Integrative Physiology,,20137,
3.07,MLS - Main Lab,3.38,4.5,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
3.1,MLS - Main Lab,5.29,6,3435,Physiology Lab,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,0,011,IPHY,Integrative Physiology,,20137,
3.03,LEC - Lecture,4.71,4.31,3470,Human Physiology 1,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.48,LEC - Lecture,4.53,4.58,3480,Human Physiology 2,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
4,LEC - Lecture,2.5,2.83,3500,Applied Clinical Research,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,,,1,800,IPHY,Integrative Physiology,,20137,
3.59,LEC - Lecture,5.11,5.78,3700,Scientific Writing in Integrative Physiology,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
3.11,LEC - Lecture,5.23,5.69,3700,Scientific Writing in Integrative Physiology,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
3,LEC - Lecture,5.04,5.23,4440,Endocrinology,4XXX,AS,IPHY,NS,0,4,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
2.93,LEC - Lecture,5.13,5.25,4470,Biology of Human Reproduction,4XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
3.3,LEC - Lecture,4.1,3.63,4540,Biomechanics,4XXX,AS,IPHY,NS,0,5,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
2.91,LEC - Lecture,5.71,5.82,4600,Immunology,4XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
2.88,LEC - Lecture,4.76,4.77,4650,Exercise Physiology,4XXX,AS,IPHY,NS,0,5,P  - In Person,Upper,1,1,,,0,100,IPHY,Integrative Physiology,,20137,
2.53,LEC - Lecture,4.74,4.82,4720,Neurophysiology,4XXX,AS,IPHY,NS,0,4,P  - In Person,Upper,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
3.31,LEC - Lecture,5.11,5.67,4740,Theory of Motor Skill Learning,4XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,2,1,,,0,001,IPHY,Integrative Physiology,,20137,
4,INT - Internship,,,4930,Internship,4XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,,,,0,935,IPHY,Integrative Physiology,,20137,
3.95,LEC - Lecture,4.91,5.27,5100,Colloquium in Integrative Physiology,5XXX,AS,IPHY,NS,0,2,P  - In Person,Masters,1,1,,,0,010,IPHY,Integrative Physiology,,20137,
3.62,LEC - Lecture,5.2,5.58,5800,Advanced Statistics and Research Methods in Integrative Physiology,5XXX,AS,IPHY,NS,0,4,P  - In Person,Masters,1,1,,,0,002,IPHY,Integrative Physiology,,20137,
4,SEM - Seminar,5.57,6,6010,Seminar,6XXX,AS,IPHY,NS,0,3,P  - In Person,Masters,1,1,,,0,003,IPHY,Integrative Physiology,,20137,
3.82,SEM - Seminar,4.27,4.64,6680,Matlab for Physiological and Biomechanical Research,6XXX,AS,IPHY,NS,0,3,P  - In Person,Masters,1,1,,,0,001,IPHY,Integrative Physiology,,20137,
3.02,LEC - Lecture,4.2,4.46,1000,Language in U.S. Society,1XXX,AS,LING,SS,0,3,P  - In Person,Lower,1,1,,,0,010,LING,Linguistics,,20137,
3.26,LEC - Lecture,3.56,3.88,1000,Language in U.S. Society,1XXX,AS,LING,SS,0,3,P  - In Person,Lower,1,1,,,0,020,LING,Linguistics,,20137,
3.28,LEC - Lecture,5.4,5.89,1020,Languages of the World,1XXX,AS,LING,SS,0,3,P  - In Person,Lower,1,1,,,0,010,LING,Linguistics,,20137,
3.14,LEC - Lecture,4.92,5.43,1020,Languages of the World,1XXX,AS,LING,SS,0,3,P  - In Person,Lower,1,1,,,0,020,LING,Linguistics,,20137,
,PRA - Practicum,,,1900,Service Learning Practicum: Adult Literacy,1XXX,AS,LING,SS,0,1,P  - In Person,Lower,1,,,,1,800,LING,Linguistics,,20137,
2.95,LEC - Lecture,4.32,4.57,2000,Introduction to Linguistics,2XXX,AS,LING,SS,0,3,P  - In Person,Lower,1,1,,,0,010,LING,Linguistics,,20137,
3.16,LEC - Lecture,5.26,5.42,3100,Language Sound Structures,3XXX,AS,LING,SS,0,3,P  - In Person,Upper,1,1,,,0,010,LING,Linguistics,,20137,
3.3,LEC - Lecture,4.28,4.76,3430,Semantics,3XXX,AS,LING,SS,0,3,P  - In Person,Upper,1,1,,,0,001,LING,Linguistics,,20137,
3.42,LEC - Lecture,4.27,5,4100,Perspectives on Language,4XXX,AS,LING,SS,0,3,P  - In Person,Upper,1,1,,,0,001,LING,Linguistics,,20137,
3.33,LEC - Lecture,4,4.39,4420,Morphology and Syntax,4XXX,AS,LING,SS,0,3,P  - In Person,Upper,1,1,,,0,001,LING,Linguistics,,20137,
3.58,LEC - Lecture,4.77,5.27,5030,Linguistic Phonetics,5XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,010,LING,Linguistics,,20137,
3.73,LEC - Lecture,3.85,4.15,5200,Introduction to Computational Corpus Linguistics,5XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,001,LING,Linguistics,,20137,
3.8,LEC - Lecture,5.29,5.71,5420,Morphology and Syntax,5XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,001,LING,Linguistics,,20137,
3.75,LEC - Lecture,4.89,5,5570,Introduction to Diachronic Linguistics,5XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,001,LING,Linguistics,,20137,
3.97,LEC - Lecture,5,5.25,6300,Topics in Language Use,6XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,003,LING,Linguistics,,20137,
3.92,SEM - Seminar,5.54,5.69,6310,Sociolinguistic Analysis,6XXX,AS,LING,SS,0,3,P  - In Person,Masters,1,1,,,0,001,LING,Linguistics,,20137,
3.75,SEM - Seminar,5.22,5.55,7800,Open Topics in Linguistics,7XXX,AS,LING,SS,0,3,P  - In Person,Doctoral,1,1,,,0,002,LING,Linguistics,,20137,
2.55,LEC - Lecture,,,1005,Introduction to College Mathematics,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,310,MATH,Mathematics,,20137,
2.36,LEC - Lecture,,,1005,Introduction to College Mathematics,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,311,MATH,Mathematics,,20137,
2.14,LEC - Lecture,3.59,4.4,1011,Fundamentals and Techniques of College Algebra,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,010,MATH,Mathematics,,20137,
2.16,LEC - Lecture,4.21,4.92,1011,Fundamentals and Techniques of College Algebra,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,020,MATH,Mathematics,,20137,
2.34,LEC - Lecture,4.35,4.9,1011,Fundamentals and Techniques of College Algebra,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,030,MATH,Mathematics,,20137,
2.77,LEC - Lecture,,,1011,Fundamentals and Techniques of College Algebra,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,310,MATH,Mathematics,,20137,
2,LEC - Lecture,,,1011,Fundamentals and Techniques of College Algebra,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,312,MATH,Mathematics,,20137,
2.77,LEC - Lecture,5.11,5.83,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,001,MATH,Mathematics,,20137,
3.36,LEC - Lecture,4.95,5.77,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,002,MATH,Mathematics,,20137,
3.37,LEC - Lecture,5.11,5.79,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,003,MATH,Mathematics,,20137,
2.12,LEC - Lecture,3.41,4.41,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,004,MATH,Mathematics,,20137,
3.12,LEC - Lecture,4.81,5.7,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,005,MATH,Mathematics,,20137,
3.03,LEC - Lecture,4.47,5.37,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,006,MATH,Mathematics,,20137,
3.15,LEC - Lecture,4.69,5.46,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,007,MATH,Mathematics,,20137,
2.32,LEC - Lecture,3.21,3.59,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,008,MATH,Mathematics,,20137,
2.65,LEC - Lecture,4.54,5.33,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,010,MATH,Mathematics,,20137,
2.88,LEC - Lecture,4.53,5.19,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,011,MATH,Mathematics,,20137,
2.79,LEC - Lecture,2,1.94,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,012,MATH,Mathematics,,20137,
2.61,LEC - Lecture,3.6,3.87,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,013,MATH,Mathematics,,20137,
2.63,LEC - Lecture,,,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,272,MATH,Mathematics,,20137,
3.29,LEC - Lecture,,,1012,Quantitative Reasoning and Mathematical Skills,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,,,,0,310,MATH,Mathematics,,20137,
2.29,LEC - Lecture,4.82,5.06,1021,Numerical and Analytical College Trigonometry,1XXX,AS,MATH,NS,0,2,P  - In Person,Lower,1,1,,,0,001,MATH,Mathematics,,20137,
2.93,LEC - Lecture,4.55,4.98,1071,Finite Mathematics for Social Science and Business,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,010,MATH,Mathematics,,20137,
2.81,LEC - Lecture,4.51,5.23,1071,Finite Mathematics for Social Science and Business,1XXX,AS,MATH,NS,0,3,P  - In Person,Lower,1,1,,,0,020,MATH,Mathematics,,20137,
